instance_id,order,class_index,presentation_seed,hidden_rows,seed_rows,seed_digest,target_digest,block_size,policy,tie_repetition,tie_seed,max_nodes,max_seconds,solved,termination,elapsed_seconds,nodes,backtracks,dead_ends,candidate_evaluations,exact_prunes,symmetry_prunes,completed_rows,scoring_calls,scoring_seconds,solution_digest,verification_passed
d16-c0-h4-s21864825,16,0,21864825,4,12,1720dc67711775f03246413ecf8cc27bd997b4b1b6dc2bac0a3bed5433412d9b,0fa38bc2b9b01fdc50969b894800e8dd8c541110ccd84e442dd96e8b36765c3f,8,all_pair_product,1,60125683,300000,30.0,True,solved,0.13047630002256483,27,19,19,4096,2879,676,5,10,0.007377500063739717,35116649982b56c6482f98a9e79003951ef3aa315524f52990cb368a0d709495,True
d16-c0-h4-s21864825,16,0,21864825,4,12,1720dc67711775f03246413ecf8cc27bd997b4b1b6dc2bac0a3bed5433412d9b,0fa38bc2b9b01fdc50969b894800e8dd8c541110ccd84e442dd96e8b36765c3f,8,lexicographic,1,60125683,300000,30.0,True,solved,1.1344866000581533,231,223,223,30080,29106,451,4,0,0.0,35116649982b56c6482f98a9e79003951ef3aa315524f52990cb368a0d709495,True
d16-c0-h4-s21864825,16,0,21864825,4,12,1720dc67711775f03246413ecf8cc27bd997b4b1b6dc2bac0a3bed5433412d9b,0fa38bc2b9b01fdc50969b894800e8dd8c541110ccd84e442dd96e8b36765c3f,8,all_pair_lexicographic,2,70125702,300000,30.0,True,solved,0.13035629992373288,27,19,19,4096,2879,676,5,10,0.00787329999729991,35116649982b56c6482f98a9e79003951ef3aa315524f52990cb368a0d709495,True
d16-c0-h4-s21864825,16,0,21864825,4,12,1720dc67711775f03246413ecf8cc27bd997b4b1b6dc2bac0a3bed5433412d9b,0fa38bc2b9b01fdc50969b894800e8dd8c541110ccd84e442dd96e8b36765c3f,8,all_pair_product,2,70125702,300000,30.0,True,solved,0.5621887999586761,109,101,101,14976,13030,1325,8,16,0.010413600015453994,35116649982b56c6482f98a9e79003951ef3aa315524f52990cb368a0d709495,True
d16-c0-h4-s21864825,16,0,21864825,4,12,1720dc67711775f03246413ecf8cc27bd997b4b1b6dc2bac0a3bed5433412d9b,0fa38bc2b9b01fdc50969b894800e8dd8c541110ccd84e442dd96e8b36765c3f,8,lexicographic,2,70125702,300000,30.0,True,solved,0.7105805000755936,231,223,223,30080,29106,451,4,0,0.0,35116649982b56c6482f98a9e79003951ef3aa315524f52990cb368a0d709495,True
d16-c0-h4-s21864830,16,0,21864830,4,12,e1e6474b61ad373f5036bf07e60ff5f4726cab31c7cb18404a486d1ff286b7ee,9cc1b225f49851fe802c25a1a5e87b565a2c98747311010000dab53f64c02568,8,all_pair_lexicographic,0,50125669,300000,30.0,True,solved,3.159193400060758,845,837,837,109952,106547,1915,14,28,0.02969099977053702,4269b306a48da0d7da7624c9feeb5715b9a758d4960c836c5ef5876ab2950707,True
d16-c0-h4-s21864830,16,0,21864830,4,12,e1e6474b61ad373f5036bf07e60ff5f4726cab31c7cb18404a486d1ff286b7ee,9cc1b225f49851fe802c25a1a5e87b565a2c98747311010000dab53f64c02568,8,all_pair_product,0,50125669,300000,30.0,True,solved,3.36236209992785,904,896,896,117632,113985,2099,15,30,0.024089700425975025,4269b306a48da0d7da7624c9feeb5715b9a758d4960c836c5ef5876ab2950707,True
d16-c0-h4-s21864830,16,0,21864830,4,12,e1e6474b61ad373f5036bf07e60ff5f4726cab31c7cb18404a486d1ff286b7ee,9cc1b225f49851fe802c25a1a5e87b565a2c98747311010000dab53f64c02568,8,lexicographic,0,50125669,300000,30.0,True,solved,0.9029069999232888,191,183,183,24960,23986,315,4,0,0.0,4269b306a48da0d7da7624c9feeb5715b9a758d4960c836c5ef5876ab2950707,True
d16-c0-h4-s21864830,16,0,21864830,4,12,e1e6474b61ad373f5036bf07e60ff5f4726cab31c7cb18404a486d1ff286b7ee,9cc1b225f49851fe802c25a1a5e87b565a2c98747311010000dab53f64c02568,8,all_pair_lexicographic,1,60125688,300000,30.0,True,solved,3.1790613000048324,845,837,837,109952,106547,1915,14,28,0.02843759988900274,4269b306a48da0d7da7624c9feeb5715b9a758d4960c836c5ef5876ab2950707,True
d16-c0-h4-s21864830,16,0,21864830,4,12,e1e6474b61ad373f5036bf07e60ff5f4726cab31c7cb18404a486d1ff286b7ee,9cc1b225f49851fe802c25a1a5e87b565a2c98747311010000dab53f64c02568,8,all_pair_product,1,60125688,300000,30.0,True,solved,3.1662948000011966,845,837,837,109952,106547,1915,14,28,0.02382470015436411,4269b306a48da0d7da7624c9feeb5715b9a758d4960c836c5ef5876ab2950707,True
