order,hidden_rows,block_size,guided_policy,baseline,pairs,both_solved,guided_only_solved,baseline_only_solved,neither_solved,guided_node_win_rate_both_solved,median_node_ratio_guided_over_baseline_both_solved,geometric_mean_node_ratio_guided_over_baseline_both_solved,median_time_ratio_guided_over_baseline_both_solved
16,6,4,all_pair_product,lexicographic,15,15,0,0,0,0.0,6.419847328244275,7.746094198625868,7.5069065038664355
16,6,4,all_pair_product,minimum_max_pressure,15,15,0,0,0,0.6666666666666666,0.8451475509583206,0.6626587461504444,0.8493364499771952
16,6,4,all_pair_product,random_order,15,15,0,0,0,0.6666666666666666,0.8550524026102432,0.6240843472681697,0.8768832062482219
16,6,8,all_pair_product,balance_only,15,15,0,0,0,0.7333333333333333,0.8925546143557735,0.8346153046345404,0.9039701478715473
16,6,8,all_pair_product,lexicographic,15,15,0,0,0,0.0,13.12,9.696443860054943,12.537634146972263
16,6,8,all_pair_product,minimum_max_pressure,15,15,0,0,0,0.6,0.9716088328075709,0.8638830917271714,0.9802648072255209
16,6,8,all_pair_product,random_order,15,15,0,0,0,0.5333333333333333,0.8824107435309532,1.087727193087057,0.8871474174593145
20,4,2,all_pair_product,balance_only,15,15,0,0,0,0.8666666666666667,0.500882541720154,0.6691248415163741,0.562803771593608
20,4,2,all_pair_product,lexicographic,15,15,0,0,0,0.0,2.5514547413793105,2.7135290526713876,3.120958966558698
20,4,2,all_pair_product,minimum_max_pressure,15,15,0,0,0,0.6,0.871940937884519,0.8682465529344848,0.9743406193276374
20,4,2,all_pair_product,random_order,15,15,0,0,0,0.6,0.947632058287796,0.9070541347801281,1.051657927681891
20,4,4,all_pair_product,balance_only,15,15,0,0,0,0.8,0.5901936468568157,0.7788690803864158,0.6345722298528562
20,4,4,all_pair_product,lexicographic,15,15,0,0,0,0.0,2.522,2.3810774276387363,2.4858806915271083
20,4,4,all_pair_product,minimum_max_pressure,15,15,0,0,0,0.8,0.7195022677055471,0.8759163447394953,0.7726099173038025
20,4,4,all_pair_product,random_order,15,15,0,0,0,0.5333333333333333,0.8987696956615584,1.0358541912098203,0.9437619736292135
20,4,8,all_pair_product,balance_only,15,15,0,0,0,1.0,0.36504424778761063,0.26677507877761897,0.3792852214501676
20,4,8,all_pair_product,lexicographic,15,15,0,0,0,0.2,1.3367875647668395,0.9522404653032797,1.3499799756338415
20,4,8,all_pair_product,minimum_max_pressure,15,15,0,0,0,0.9333333333333333,0.5446009389671361,0.43813581981588756,0.5349880781579875
20,4,8,all_pair_product,random_order,15,15,0,0,0,0.8,0.4020100502512563,0.3063514843055849,0.4147657141613793
20,6,2,all_pair_product,balance_only,15,15,0,0,0,0.6,0.7903305197527938,0.9303122612100964,0.900069810429209
20,6,2,all_pair_product,lexicographic,15,15,0,0,0,0.0,10.862440491104985,10.424361582673988,13.217396311312099
20,6,2,all_pair_product,minimum_max_pressure,15,15,0,0,0,0.6666666666666666,0.902020349139635,1.0495493269488076,1.0355075927817972
20,6,2,all_pair_product,random_order,15,15,0,0,0,0.6,0.8942428680459581,1.0317280513749447,1.0979249959154809
20,6,4,all_pair_product,balance_only,15,15,0,0,0,0.5333333333333333,0.9857077438480635,0.8569296325248384,1.0322848111261962
20,6,4,all_pair_product,lexicographic,15,15,0,0,0,0.0,11.584898122253296,8.900660891861326,11.910367704297158
20,6,4,all_pair_product,minimum_max_pressure,15,14,1,0,0,0.7857142857142857,0.7779121868612107,0.6935484782193768,0.8155104138242796
20,6,4,all_pair_product,random_order,15,15,0,0,0,0.5333333333333333,0.8778119978575254,0.8243437931280817,0.9342437559146608
20,6,8,all_pair_product,balance_only,15,8,1,1,5,0.5,1.1186053734552182,0.6413260756998335,1.0415129434701063
20,6,8,all_pair_product,lexicographic,15,9,0,6,0,0.2222222222222222,11.412017167381974,5.881585552224363,11.603104664374786
20,6,8,all_pair_product,minimum_max_pressure,15,8,1,4,2,0.375,1.2901527606122083,0.8983947098100707,1.30537888058031
20,6,8,all_pair_product,random_order,15,8,1,4,2,0.375,1.1532871094726764,0.8074958512807103,1.013782694839351
