order,context_length,statistic,effect,left_variant,left_traversal,left_region,right_variant,right_traversal,right_region,repetitions,mean,standard_deviation,ci95_lower,ci95_upper
24,4,mean_gain,gain_over_fair,permute_both_fixed_anchor,columns,all,fair_coin,columns,all,20,0.009859696562162951,0.001366236357491302,0.009275390740541976,0.01041900187569822
24,4,mean_gain,gain_over_fair,permute_both_fixed_anchor,rows,all,fair_coin,rows,all,20,0.01044605170480612,0.0008516390669723624,0.010088486441609467,0.010809894923469916
24,4,mean_gain,gain_over_fair,permute_both_renormalized,columns,all,fair_coin,columns,all,20,0.01015424945136414,0.001204967435564123,0.009630500329723457,0.010664915682348322
24,4,mean_gain,gain_over_fair,permute_both_renormalized,rows,all,fair_coin,rows,all,20,0.010260203378564009,0.0011645263819283194,0.00978248659529621,0.01077229731970555
24,4,mean_gain,gain_over_fair,permute_columns_fixed_anchor,columns,all,fair_coin,columns,all,20,0.04554784371165469,0.012761500911371104,0.039714044081881436,0.050714767975185426
24,4,mean_gain,gain_over_fair,permute_columns_fixed_anchor,rows,all,fair_coin,rows,all,20,0.01044605170480612,0.0008516390669723751,0.010083898076233878,0.010812858050524912
24,4,mean_gain,gain_over_fair,permute_rows_fixed_anchor,columns,all,fair_coin,columns,all,20,0.009859696562162956,0.0013662363574913166,0.009269142825011508,0.010433784625901422
24,4,mean_gain,gain_over_fair,permute_rows_fixed_anchor,rows,all,fair_coin,rows,all,20,0.05111083099420162,0.008080302660317885,0.04753565580899398,0.05439832052593384
24,5,mean_gain,gain_over_fair,catalog,columns,all,fair_coin,columns,all,20,0.08023721660363436,0.012645506110087943,0.07462903620913773,0.08550149666142629
24,5,mean_gain,gain_over_fair,catalog,columns,exclude_first_column,fair_coin,columns,exclude_first_column,20,0.06212784178777344,0.013240676525838246,0.05640260523702639,0.06769539530627725
24,5,mean_gain,gain_over_fair,catalog,columns,exclude_first_row,fair_coin,columns,exclude_first_row,20,0.07153204758915584,0.01127599193699536,0.06661174806933987,0.07623989860958208
24,5,mean_gain,gain_over_fair,catalog,columns,interior,fair_coin,columns,interior,20,0.05439253493718077,0.01189662858575118,0.049227880374757345,0.05930843732938831
24,5,mean_gain,gain_over_fair,catalog,rows,all,fair_coin,rows,all,20,0.09042885377878485,0.010883357487829105,0.08589443530708263,0.09516881426455974
24,5,mean_gain,gain_over_fair,catalog,rows,exclude_first_column,fair_coin,rows,exclude_first_column,20,0.07950733147017437,0.010047374963614405,0.07533791323015303,0.08392852343158624
24,5,mean_gain,gain_over_fair,catalog,rows,exclude_first_row,fair_coin,rows,exclude_first_row,20,0.07364343966470134,0.011278426319621868,0.06891352100111915,0.07855077639618559
24,5,mean_gain,gain_over_fair,catalog,rows,interior,fair_coin,rows,interior,20,0.06371894097954345,0.010357451850063903,0.059336772480345815,0.06799217351556805
24,5,mean_gain,gain_over_fair,permute_both_fixed_anchor,columns,all,fair_coin,columns,all,20,0.019208406416733475,0.0014255172933316485,0.018612339429881157,0.019822999078075564
24,5,mean_gain,gain_over_fair,permute_both_fixed_anchor,rows,all,fair_coin,rows,all,20,0.01903115726087572,0.0015765763177582033,0.018366946017871158,0.01970209707513149
