repetition,seed,order,presentation,block_size,context_length,train_matrices,test_matrices,target,stage,model,observations,log_loss,gain_over_fair,gain_over_constraint,rmse_count,mae_count
0,20260814,24,catalog,2,4,48,12,row_plus_count,late,state_plus_context,1104,0.3782274820647287,0.6464248718064758,0.23886539716132643,0.4107554337421035,0.2485351771376651
0,20260814,24,catalog,2,4,48,12,pressured_pair_agreement_count,all,fair_binomial,2640,1.2621054912695102,0.0,-0.38968925816565736,0.9059985283284588,0.8208333333333333
0,20260814,24,catalog,2,4,48,12,pressured_pair_agreement_count,all,serialized_context,2640,0.9278565587678963,0.3342489325016139,-0.055440325664043444,0.8572522172971562,0.7784111370471041
0,20260814,24,catalog,2,4,48,12,pressured_pair_agreement_count,all,constraint_state,2640,0.8724162331038529,0.38968925816565736,0.0,0.7047223700718255,0.5134460678210695
0,20260814,24,catalog,2,4,48,12,pressured_pair_agreement_count,all,state_plus_context,2640,0.5087790678633294,0.7533264234061808,0.3636371652405235,0.597274297591915,0.42128900076832787
0,20260814,24,catalog,2,4,48,12,pressured_pair_agreement_count,early,fair_binomial,528,1.2628931585202032,0.0,0.025433284183811855,0.9066254446957117,0.821969696969697
0,20260814,24,catalog,2,4,48,12,pressured_pair_agreement_count,early,serialized_context,528,0.9300262900471995,0.33286686847300373,0.3583001526568156,0.9020540097179599,0.8165139895387671
0,20260814,24,catalog,2,4,48,12,pressured_pair_agreement_count,early,constraint_state,528,1.288326442704015,-0.025433284183811855,0.0,0.8984579371323447,0.8129419191919182
0,20260814,24,catalog,2,4,48,12,pressured_pair_agreement_count,early,state_plus_context,528,0.8493752634992905,0.41351789502091274,0.4389511792047246,0.8810704511251741,0.8101956451962142
0,20260814,24,catalog,2,4,48,12,pressured_pair_agreement_count,middle,fair_binomial,1056,1.249108981634044,0.0,-0.04313113388082268,0.8955910525085282,0.8020833333333334
0,20260814,24,catalog,2,4,48,12,pressured_pair_agreement_count,middle,serialized_context,1056,0.9118691955349416,0.3372397860991023,0.29410865221827964,0.8289005370372,0.7474781090615872
0,20260814,24,catalog,2,4,48,12,pressured_pair_agreement_count,middle,constraint_state,1056,1.2059778477532213,0.04313113388082268,0.0,0.8348359983218271,0.6714939574314558
0,20260814,24,catalog,2,4,48,12,pressured_pair_agreement_count,middle,state_plus_context,1056,0.5876101212018726,0.6614988604321713,0.6183677265513486,0.6266675739193477,0.4777740681801711
0,20260814,24,catalog,2,4,48,12,pressured_pair_agreement_count,late,fair_binomial,1056,1.2747081672797227,0.0,-0.943808653625327,0.9159777025207281,0.8390151515151515
0,20260814,24,catalog,2,4,48,12,pressured_pair_agreement_count,late,serialized_context,1056,0.9427590563612105,0.3319491109185122,-0.6118595427068148,0.8621349033808466,0.7902927387867903
0,20260814,24,catalog,2,4,48,12,pressured_pair_agreement_count,late,constraint_state,1056,0.3308995136543958,0.943808653625327,0.0,0.3755257257593291,0.20565025252525257
0,20260814,24,catalog,2,4,48,12,pressured_pair_agreement_count,late,state_plus_context,1056,0.2596499167068051,1.0150582505729175,0.0712495969475907,0.33314658678256154,0.17035061114253786
0,20260814,24,catalog,4,4,48,12,row_plus_count,all,fair_binomial,1380,1.359384924383908,0.0,-0.3638645271981421,0.9325048082403138,0.563768115942029
0,20260814,24,catalog,4,4,48,12,row_plus_count,all,serialized_context,1380,0.9917051222505313,0.3676798021333767,0.0038152749352345916,0.8761513760810385,0.5792515383500038
0,20260814,24,catalog,4,4,48,12,row_plus_count,all,constraint_state,1380,0.9955203971857659,0.3638645271981421,0.0,0.7529651530709305,0.42371980676328486
0,20260814,24,catalog,4,4,48,12,row_plus_count,all,state_plus_context,1380,0.5739506307323949,0.7854342936515131,0.42156976645337096,0.6464576326532433,0.3636085304327921
0,20260814,24,catalog,4,4,48,12,row_plus_count,early,fair_binomial,276,1.3604929615804144,0.0,-0.02504994322103804,0.9325048082403138,0.5507246376811594
