order,presentation,block_size,stage,policy,repetitions,mean_states,mean_feasible_candidates,mean_percentile,mean_percentile_minus_random,percentile_effect_ci95_lower,percentile_effect_ci95_upper,mean_reciprocal_rank,mean_top_decile_rate,mean_expected_top1_rate
24,permute_both_renormalized,2,middle,minimum_max_pressure,20,499.95,3.9906991983967934,0.6468273213092853,0.14682732130928527,0.14175227517535074,0.15169182886606541,0.6286693043229313,0.288329258517034,0.46812207748831075
24,permute_both_renormalized,2,middle,random_order,20,499.95,3.9906991983967934,0.5,0.0,0.0,0.0,0.4009300801603241,0.0,0.2507750668002672
24,permute_both_renormalized,4,early,all_pair_product,20,264.0,16.0,0.7447147253787879,0.24471472537878788,0.24145936908143945,0.24792865175189396,0.44821288948410576,0.38958333333333334,0.28617108585858586
24,permute_both_renormalized,4,early,balance_only,20,264.0,16.0,0.5359848484848484,0.03598484848484849,0.03150449810606061,0.04041785037878788,0.17320985762340085,0.0,0.06856060606060602
24,permute_both_renormalized,4,early,balance_pressured_pair,20,264.0,16.0,0.5768110795454546,0.07681107954545455,0.07249644886363636,0.08139796401515151,0.20915519874867586,0.10549242424242425,0.08183396464646464
24,permute_both_renormalized,4,early,balance_random_pair,20,264.0,16.0,0.5623461174242423,0.06234611742424242,0.057848011363636376,0.06703953598484848,0.19576585219503234,0.06875,0.07777777777777777
24,permute_both_renormalized,4,early,minimum_max_pressure,20,264.0,16.0,0.6426964962121213,0.14269649621212124,0.1356830018939394,0.14910052675189395,0.26393741931907827,0.16628787878787873,0.1463620023705251
24,permute_both_renormalized,4,early,random_order,20,264.0,16.0,0.5,0.0,0.0,0.0,0.11764705882352904,0.0,0.0625
24,permute_both_renormalized,4,middle,all_pair_product,20,500.0,15.6795,0.8321603987678976,0.3321603987678975,0.3296684481716187,0.33466987682109434,0.607140765041679,0.5910999999999998,0.4612991666666667
24,permute_both_renormalized,4,middle,balance_only,20,500.0,15.6795,0.5725141766566768,0.07251417665667692,0.06878784514443913,0.07639467591262944,0.19619043393932128,0.007400000000000001,0.08279499999999995
24,permute_both_renormalized,4,middle,balance_pressured_pair,20,500.0,15.6795,0.6605879970029969,0.16058799700299708,0.15725653066204628,0.16402137714889284,0.27016941966046354,0.22590000000000005,0.12316166666666672
24,permute_both_renormalized,4,middle,balance_random_pair,20,500.0,15.6795,0.6123281131368633,0.11232811313686322,0.10908665867465876,0.11575042177614059,0.2329931403142965,0.1421,0.10219691919191923
24,permute_both_renormalized,4,middle,minimum_max_pressure,20,500.0,15.6795,0.7411823618048614,0.24118236180486147,0.23787431747419208,0.24461060287628997,0.38623975066730376,0.3167,0.27124979020979023
24,permute_both_renormalized,4,middle,random_order,20,500.0,15.6795,0.5,0.0,0.0,0.0,0.12028344537815092,0.0,0.06400975982350979
24,permute_both_renormalized,8,early,all_pair_product,20,264.0,256.0,0.8759987571022727,0.3759987571022727,0.3739379512902462,0.3780577041163589,0.2921093170473449,0.643560606060606,0.20528876659605824
