order,context_length,statistic,variant,comparator,repetitions,mean,standard_deviation,ci95_lower,ci95_upper
24,10,gain_over_fair,permuted_hadamard,fair_coin,20,0.013426212015349154,0.005001345508938711,0.01124792683391005,0.015560292307492654
24,11,gain_over_fair,balanced_rows,fair_coin,20,-0.013047690583269028,0.007592601998187842,-0.016386947426475878,-0.009841306321203641
24,11,gain_over_fair,hadamard,fair_coin,20,0.26978372572112796,0.02884294228592403,0.2577705219530032,0.2824710648717221
24,11,gain_over_fair,iid_normalized,fair_coin,20,-0.043029780244923835,0.006574236224683355,-0.04590656519710208,-0.04033507513851906
24,11,gain_over_fair,permuted_hadamard,fair_coin,20,-0.01567527128758674,0.006867702712766799,-0.018546781861573863,-0.01267770451132214
24,12,gain_over_fair,balanced_rows,fair_coin,20,-0.04538699878227168,0.00993594005574357,-0.04977148614302299,-0.041203834492603925
24,12,gain_over_fair,hadamard,fair_coin,20,0.27353777663232776,0.029346644824447897,0.26144939878226264,0.2864959746218014
24,12,gain_over_fair,iid_normalized,fair_coin,20,-0.08042034514333718,0.00945319174924789,-0.08445329587393702,-0.0763880294403305
24,12,gain_over_fair,permuted_hadamard,fair_coin,20,-0.0488369377239605,0.008027529461390216,-0.05219426178250093,-0.045323242521086986
28,1,gain_over_fair,balanced_rows,fair_coin,20,-2.5838505979813853e-06,7.636743430208654e-06,-6.0197761341101985e-06,5.622506458953509e-07
28,1,gain_over_fair,hadamard,fair_coin,20,0.0,0.0,0.0,0.0
28,1,gain_over_fair,iid_normalized,fair_coin,20,0.0012222798434519343,0.00013647867650794514,0.001162892585608702,0.0012790678796563652
28,1,gain_over_fair,permuted_hadamard,fair_coin,20,0.0,0.0,0.0,0.0
28,2,gain_over_fair,balanced_rows,fair_coin,20,0.0007078996053242082,0.00012715705228822554,0.0006525581137374521,0.0007616337714754232
28,2,gain_over_fair,hadamard,fair_coin,20,0.0021986206251010942,0.00012752282253094508,0.0021422790016234904,0.0022501608075373
28,2,gain_over_fair,iid_normalized,fair_coin,20,0.0022685452526465034,0.00022022800340514828,0.002173578830126862,0.002359699720039276
28,2,gain_over_fair,permuted_hadamard,fair_coin,20,0.0007693470071793551,0.00012205002638174863,0.0007184866168436044,0.0008213325538004036
28,3,gain_over_fair,balanced_rows,fair_coin,20,0.002971311037523011,0.0002363016743203177,0.0028715297633324656,0.003069909533248752
28,3,gain_over_fair,hadamard,fair_coin,20,0.014261243088261072,0.000438330748832025,0.014073218454541066,0.014445735073273597
