order,variant,configuration,train_matrices,test_matrices,context_length,alpha,reset_at_row_boundary,exclude_first_row,exclude_first_column,train_observations,test_observations,contexts_seen,test_unseen_context_rate,train_log_loss,test_log_loss,test_fair_log_loss,test_marginal_log_loss,train_accuracy,test_accuracy,train_mle_log_loss,train_epsilon_max,train_epsilon_avg,test_epsilon_max,test_epsilon_avg,fair_log_loss_constant
16,permuted_hadamard,reset_at_row_boundary,4,1,2,0.5,True,False,False,896,224,4,0.0,0.6921452567814528,0.6845621305753412,0.6931471805599453,0.6931471805599453,0.5223214285714286,0.6071428571428571,0.6921452364488607,0.024038461538461564,0.022321428571428586,0.11538461538461542,0.10714285714285714,0.6931471805599453
16,permuted_hadamard,reset_at_row_boundary,4,1,3,0.5,True,False,False,832,208,8,0.0,0.6812474967224955,0.6860854613819201,0.6931471805599453,0.6931471805599453,0.5637019230769231,0.5432692307692307,0.6812463738542,0.13478260869565217,0.06370192307692307,0.2391304347826087,0.11538461538461539,0.6931471805599453
16,permuted_hadamard,reset_at_row_boundary,4,1,4,0.5,True,False,False,768,192,16,0.0,0.6572799833222679,0.6813704261807881,0.6931471805599453,0.6931471805599453,0.5989583333333334,0.5260416666666666,0.6572638236049375,0.303030303030303,0.09895833333333333,0.5,0.15625,0.6931471805599453
16,permuted_hadamard,reset_at_row_boundary,4,1,5,0.5,True,False,False,704,176,32,0.0,0.6301609645081278,0.6701024895569859,0.6931471805599453,0.6931471805599453,0.6292613636363636,0.5738636363636364,0.6300133470527179,0.4387755102040817,0.12926136363636365,0.5,0.16477272727272727,0.6931471805599453
16,permuted_hadamard,reset_at_row_boundary,4,1,6,0.5,True,False,False,640,160,64,0.0,0.6055572498739193,0.6473078593022892,0.6931471805599453,0.6931471805599453,0.6609375,0.5625,0.6040380592551859,0.5,0.1609375,0.5,0.25,0.6931471805599453
16,permuted_hadamard,reset_at_row_boundary,4,1,7,0.5,True,False,False,576,144,126,0.0,0.5307420586132844,0.7274778466023331,0.6931471805599453,0.6931471805599453,0.7170138888888888,0.5902777777777778,0.5061999973526693,0.5,0.2170138888888889,0.5,0.3472222222222222,0.6931471805599453
16,permuted_hadamard,reset_at_row_boundary,4,1,8,0.5,True,False,False,512,128,206,0.1484375,0.45638756706004235,0.7159069085265016,0.6931471805599453,0.6931471805599453,0.775390625,0.609375,0.3863198298913269,0.5,0.275390625,0.5,0.421875,0.6931471805599453
16,balanced_rows,full_row_major,4,1,1,0.5,False,False,False,1020,255,2,0.0,0.6911317198407918,0.6943233510920874,0.6931471805599454,0.6914160792825395,0.5294117647058824,0.5294117647058824,0.6911317127174966,0.040590405904059046,0.029411764705882377,0.08823529411764708,0.05294117647058823,0.6931471805599453
16,balanced_rows,full_row_major,4,1,2,0.5,False,False,False,1016,254,4,0.0,0.6909577957768148,0.6967758060812435,0.6931471805599454,0.6916274089354789,0.5285433070866141,0.46062992125984253,0.6909577640282418,0.0460750853242321,0.02854330708661419,0.11971830985915488,0.055118110236220444,0.6931471805599453
16,balanced_rows,full_row_major,4,1,3,0.5,False,False,False,1012,253,8,0.0,0.685991860999133,0.6799484474319498,0.6931471805599454,0.6918264734666366,0.5464426877470355,0.5770750988142292,0.685991498013226,0.11875000000000002,0.046442687747035576,0.24285714285714288,0.10869565217391304,0.6931471805599453
16,balanced_rows,full_row_major,4,1,4,0.5,False,False,False,1008,252,16,0.0,0.6739074046997326,0.6902141514540376,0.6931471805599454,0.6920129659480525,0.5793650793650794,0.503968253968254,0.6739031320436112,0.20707070707070707,0.07936507936507937,0.2692307692307693,0.1349206349206349,0.6931471805599453
16,balanced_rows,full_row_major,4,1,5,0.5,False,False,False,1004,251,32,0.0,0.6592695703343479,0.6864486253396969,0.6931471805599454,0.6921865716652729,0.598605577689243,0.5298804780876494,0.6592396060163884,0.3142857142857143,0.09860557768924302,0.5,0.15737051792828685,0.6931471805599453
16,balanced_rows,full_row_major,4,1,6,0.5,False,False,False,1000,250,64,0.0,0.6388417016494243,0.6799813531315041,0.6931471805599454,0.6923469678896418,0.624,0.552,0.6386502612320103,0.3771929824561403,0.124,0.5,0.208,0.6931471805599453
16,balanced_rows,full_row_major,4,1,7,0.5,False,False,False,996,249,128,0.0,0.6149627044455533,0.7024264129342094,0.6931471805599454,0.6924938236427938,0.6596385542168675,0.5542168674698795,0.6129605565756436,0.5,0.15963855421686746,0.5,0.26305220883534136,0.6931471805599453
16,balanced_rows,full_row_major,4,1,8,0.5,False,False,False,992,248,254,0.0,0.547646116264112,0.7676659948497583,0.6931471805599453,0.6926267994530365,0.7127016129032258,0.5241935483870968,0.5214059202277954,0.5,0.2127016129032258,0.5,0.31451612903225806,0.6931471805599453
16,balanced_rows,reset_at_row_boundary,4,1,1,0.5,True,False,False,960,240,2,0.0,0.6928334231220693,0.6965911990876253,0.6931471805599453,0.6931471805599453,0.5125,0.4375,0.6928334217385945,0.013333333333333308,0.012499999999999966,0.0663716814159292,0.0625,0.6931471805599453
16,balanced_rows,reset_at_row_boundary,4,1,2,0.5,True,False,False,896,224,4,0.0,0.6914046710553479,0.6969188489333683,0.6931471805599453,0.6932292968918742,0.5256696428571429,0.48660714285714285,0.6914046389741634,0.042857142857142816,0.02566964285714285,0.09701492537313428,0.049107142857142835,0.6931471805599453
16,balanced_rows,reset_at_row_boundary,4,1,3,0.5,True,False,False,832,208,8,0.0,0.681156605506462,0.6765990264089354,0.6931471805599453,0.6935655523872021,0.5637019230769231,0.5673076923076923,0.6811555796791642,0.14516129032258063,0.06370192307692307,0.21999999999999997,0.1201923076923077,0.6931471805599453
16,balanced_rows,reset_at_row_boundary,4,1,4,0.5,True,False,False,768,192,16,0.0,0.6603683101895313,0.6786969290776234,0.6931471805599453,0.6931471805599453,0.5950520833333334,0.546875,0.6603549583137497,0.2866666666666666,0.09505208333333333,0.31818181818181823,0.13541666666666666,0.6931471805599453
16,balanced_rows,reset_at_row_boundary,4,1,5,0.5,True,False,False,704,176,32,0.0,0.6339518811861823,0.6662095179995915,0.6931471805599453,0.693570253889357,0.6193181818181818,0.5340909090909091,0.633810057150506,0.38888888888888884,0.11931818181818182,0.5,0.19318181818181818,0.6931471805599453
16,balanced_rows,reset_at_row_boundary,4,1,6,0.5,True,False,False,640,160,64,0.0,0.5978980409393346,0.6414748891056088,0.6931471805599453,0.6933079988813704,0.6640625,0.55,0.5963247805709783,0.5,0.1640625,0.5,0.2625,0.6931471805599453
16,balanced_rows,reset_at_row_boundary,4,1,7,0.5,True,False,False,576,144,125,0.0,0.5393331571691492,0.6772193857683416,0.6931471805599453,0.6928581478735967,0.7083333333333334,0.5972222222222222,0.5189452196913247,0.5,0.20833333333333334,0.5,0.3541666666666667,0.6931471805599453
16,balanced_rows,reset_at_row_boundary,4,1,8,0.5,True,False,False,512,128,212,0.0859375,0.43493616807895247,0.814670796612708,0.6931471805599453,0.6931463092082377,0.791015625,0.5078125,0.3579637255525996,0.5,0.291015625,0.5,0.4140625,0.6931471805599453
16,iid_normalized,full_row_major,4,1,1,0.5,False,False,False,1020,255,2,0.0,0.6801970638188458,0.6889311380065967,0.6931471805599454,0.6793688472649213,0.5686274509803921,0.5843137254901961,0.6801970237401486,0.10445205479452058,0.06862745098039219,0.12857142857142856,0.08431372549019608,0.6931471805599453
16,iid_normalized,full_row_major,4,1,2,0.5,False,False,False,1016,254,4,0.0,0.6798410245101426,0.6910329695844855,0.6931471805599454,0.679923980746081,0.5669291338582677,0.5826771653543307,0.6798408812527419,0.12322946175637395,0.06692913385826772,0.1515151515151515,0.0826771653543307,0.6931471805599453
16,iid_normalized,full_row_major,4,1,3,0.5,False,False,False,1012,253,8,0.0,0.6772277337979951,0.6912949132554276,0.6931471805599454,0.6804723765101267,0.5780632411067194,0.5296442687747036,0.6772270206592288,0.15000000000000002,0.07806324110671936,0.1875,0.08893280632411066,0.6931471805599453
16,iid_normalized,full_row_major,4,1,4,0.5,False,False,False,1008,252,16,0.0,0.6725769851281237,0.6876682644335804,0.6931471805599454,0.6810138341008032,0.5763888888888888,0.5277777777777778,0.6725735164211157,0.20629370629370625,0.07638888888888888,0.30000000000000004,0.12698412698412698,0.6931471805599453
16,iid_normalized,full_row_major,4,1,5,0.5,False,False,False,1004,251,32,0.0,0.6669677110786282,0.6874965154910192,0.6931471805599454,0.6815481478621414,0.5916334661354582,0.50199203187251,0.6669462544946282,0.24257425742574257,0.09163346613545817,0.5,0.16135458167330677,0.6931471805599453
16,iid_normalized,full_row_major,4,1,6,0.5,False,False,False,1000,250,64,0.0,0.6488405621668187,0.7035845623043145,0.6931471805599454,0.6820751067886618,0.623,0.528,0.6486151333282496,0.33333333333333337,0.123,0.5,0.2,0.6931471805599453
