order,variant,configuration,train_matrices,test_matrices,context_length,alpha,reset_at_row_boundary,exclude_first_row,exclude_first_column,train_observations,test_observations,contexts_seen,test_unseen_context_rate,train_log_loss,test_log_loss,test_fair_log_loss,test_marginal_log_loss,train_accuracy,test_accuracy,train_mle_log_loss,train_epsilon_max,train_epsilon_avg,test_epsilon_max,test_epsilon_avg,fair_log_loss_constant
24,iid_normalized,reset_at_row_boundary,48,12,3,0.5,True,False,False,24192,6048,8,0.0,0.6874165371984682,0.6874135895816985,0.6931471805599454,0.6927613861486973,0.5239748677248677,0.5152116402116402,0.6874165368397035,0.12885596307991254,0.023974867724867715,0.13009708737864079,0.037367724867724876,0.6931471805599453
24,iid_normalized,reset_at_row_boundary,48,12,4,0.5,True,False,False,23040,5760,16,0.0,0.685303698280664,0.6857434734907967,0.6931471805599453,0.6927531578760749,0.5292100694444445,0.5243055555555556,0.6853036967336303,0.1856796116504854,0.029210069444444455,0.18446601941747576,0.04427083333333334,0.6931471805599453
24,iid_normalized,reset_at_row_boundary,48,12,5,0.5,True,False,False,21888,5472,32,0.0,0.679976406949732,0.6826929834304933,0.6931471805599454,0.6926965676481893,0.5357273391812866,0.518640350877193,0.6799763986127259,0.28233830845771146,0.03572733918128655,0.27135678391959794,0.05007309941520468,0.6931471805599453
24,iid_normalized,reset_at_row_boundary,48,12,6,0.5,True,False,False,20736,5184,64,0.0,0.675086797025261,0.677925482925565,0.6931471805599453,0.6927809743145038,0.5421971450617284,0.5131172839506173,0.6750867587123686,0.3584589614740369,0.04219714506172839,0.36986301369863017,0.06886574074074074,0.6931471805599453
24,iid_normalized,reset_at_row_boundary,48,12,7,0.5,True,False,False,19584,4896,128,0.0,0.6691586817700145,0.6754102116835873,0.6931471805599453,0.692776493133483,0.5520322712418301,0.5106209150326797,0.6691584580991585,0.42132505175983437,0.05203227124183007,0.446058091286307,0.08986928104575163,0.6931471805599453
24,iid_normalized,reset_at_row_boundary,48,12,8,0.5,True,False,False,18432,4608,256,0.0,0.6624377703260689,0.6750110484473051,0.6931471805599453,0.6927568874622566,0.5673828125,0.5217013888888888,0.6624360435229149,0.4593301435406698,0.0673828125,0.4720930232558139,0.1189236111111111,0.6931471805599453
28,hadamard,full_row_major,390,97,1,0.5,False,False,False,305370,75951,2,0.0,0.6925494840298694,0.6925495468760913,0.6931471805599453,0.6925525323607296,0.5172413793103449,0.5172413793103449,0.6925494840298435,0.01851851851851849,0.017241379310344817,0.01850538660848222,0.01724137931034486,0.6931471805599453
28,hadamard,full_row_major,390,97,2,0.5,False,False,False,304980,75854,4,0.0,0.6903753314560862,0.690470532984127,0.6931471805599453,0.6925943612096279,0.5331300413141845,0.5324175389564163,0.6903753314555983,0.05207100591715974,0.03313004131418454,0.051319814206412184,0.03241753895641628,0.6931471805599453
28,hadamard,full_row_major,390,97,3,0.5,False,False,False,304590,75757,8,0.0,0.6856798636349593,0.6857252571108049,0.6931471805599453,0.6926347651934465,0.5525854427262878,0.5523581979223042,0.6856798636301555,0.09116158222461135,0.0525854427262878,0.09138039852132362,0.05235819792230422,0.6931471805599453
28,hadamard,full_row_major,390,97,4,0.5,False,False,False,304200,75660,16,0.0,0.66579409633011,0.6651049969241978,0.6931471805599453,0.6926737330566545,0.592603550295858,0.5937615648955855,0.6657940962519231,0.24269692721554958,0.09260355029585798,0.24691263912181738,0.09395982024848004,0.6931471805599453
28,hadamard,full_row_major,390,97,5,0.5,False,False,False,303810,75563,32,0.0,0.6532317278848947,0.6527540975152724,0.6931471805599453,0.6927112534520902,0.6089002995293111,0.6100340113547635,0.6532317273879974,0.3340475461687583,0.10890029952931109,0.3315982853643601,0.11003401135476358,0.6931471805599453
28,hadamard,full_row_major,390,97,6,0.5,False,False,False,303420,75466,64,0.0,0.6471646799794253,0.6469905139406936,0.6931471805599453,0.6927473149400967,0.6133643134928481,0.6134550658574722,0.6471646757129169,0.4163848754995389,0.1133643134928482,0.4127272727272727,0.11387909787188932,0.6931471805599453
28,hadamard,full_row_major,390,97,7,0.5,False,False,False,303030,75369,128,0.0,0.6281708011330214,0.6282334644361336,0.6931471805599453,0.6927819059876518,0.6339273339273339,0.6350090886173361,0.6281702931795107,0.4995669120831529,0.1339273339273339,0.49831932773109244,0.1358184399421513,0.6931471805599453
28,hadamard,full_row_major,390,97,8,0.5,False,False,False,302640,75272,256,0.0,0.5984175279957633,0.5993601528973077,0.6931471805599453,0.6928150149674873,0.6643305577583928,0.6659846955043044,0.598411001898556,0.5,0.1643305577583928,0.5,0.1669013710277394,0.6931471805599453
28,hadamard,reset_at_row_boundary,390,97,1,0.5,True,False,False,294840,73332,2,0.0,0.6931471805599447,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.5,0.5,0.6931471805599453,0.0,0.0,0.0,0.0,0.6931471805599453
